r,g_r,h_r,c_r
0.000000,0.573384,-0.426616,-0.573384
0.047244,0.999980,-0.000020,0.000000
0.094488,0.999980,-0.000020,0.000000
0.141732,0.999980,-0.000020,0.000000
0.188976,0.999980,-0.000020,0.000000
0.236220,0.999980,-0.000020,0.000000
0.283465,0.999980,-0.000020,0.000000
0.330709,0.999980,-0.000020,0.000000
0.377953,0.999980,-0.000020,0.000000
0.425197,0.999980,-0.000020,0.000000
0.472441,0.999980,-0.000020,0.000000
0.519685,0.999980,-0.000020,0.000000
0.566929,0.999980,-0.000020,0.000000
0.614173,0.999980,-0.000020,0.000000
0.661417,0.999980,-0.000020,0.000000
0.708661,0.999980,-0.000020,0.000000
0.755906,0.999980,-0.000020,0.000000
0.803150,0.999980,-0.000020,0.000000
0.850394,0.999980,-0.000020,0.000000
0.897638,0.999980,-0.000020,0.000000
0.944882,0.999980,-0.000020,0.000000
0.992126,0.999980,-0.000020,0.000000
1.039370,1.000217,0.000217,0.000000
1.086614,1.000211,0.000211,0.000000
1.133858,1.000204,0.000204,0.000000
1.181102,1.000198,0.000198,0.000000
1.228346,1.000192,0.000192,0.000000
1.275591,1.000185,0.000185,0.000000
1.322835,1.000179,0.000179,0.000000
1.370079,1.000172,0.000172,0.000000
1.417323,1.000166,0.000166,0.000000
1.464567,1.000159,0.000159,0.000000
1.511811,1.000153,0.000153,0.000000
1.559055,1.000146,0.000146,0.000000
1.606299,1.000140,0.000140,0.000000
1.653543,1.000133,0.000133,0.000000
1.700787,1.000127,0.000127,0.000000
1.748031,1.000120,0.000120,0.000000
1.795276,1.000114,0.000114,0.000000
1.842520,1.000107,0.000107,0.000000
1.889764,1.000101,0.000101,0.000000
1.937008,1.000094,0.000094,0.000000
1.984252,1.000088,0.000088,0.000000
2.031496,1.000002,0.000002,0.000000
2.078740,1.000002,0.000002,0.000000
2.125984,1.000002,0.000002,0.000000
2.173228,1.000002,0.000002,0.000000
2.220472,1.000002,0.000002,0.000000
2.267717,1.000002,0.000002,0.000000
2.314961,1.000001,0.000001,0.000000
2.362205,1.000001,0.000001,0.000000
2.409449,1.000001,0.000001,0.000000
2.456693,1.000001,0.000001,0.000000
2.503937,1.000001,0.000001,0.000000
2.551181,1.000001,0.000001,0.000000
2.598425,1.000001,0.000001,0.000000
2.645669,1.000001,0.000001,0.000000
2.692913,1.000001,0.000001,0.000000
2.740157,1.000001,0.000001,0.000000
2.787402,1.000001,0.000001,0.000000
2.834646,1.000001,0.000001,0.000000
2.881890,1.000001,0.000001,0.000000
2.929134,1.000001,0.000001,0.000000
2.976378,1.000001,0.000001,0.000000
3.023622,1.000001,0.000001,0.000000
3.070866,1.000001,0.000001,0.000000
3.118110,1.000001,0.000001,0.000000
3.165354,1.000001,0.000001,0.000000
3.212598,1.000001,0.000001,0.000000
3.259843,1.000001,0.000001,0.000000
3.307087,1.000001,0.000001,0.000000
3.354331,1.000001,0.000001,0.000000
3.401575,1.000000,0.000000,0.000000
3.448819,1.000000,0.000000,0.000000
3.496063,1.000000,0.000000,0.000000
3.543307,1.000000,0.000000,0.000000
3.590551,1.000000,0.000000,0.000000
3.637795,1.000000,0.000000,0.000000
3.685039,1.000000,0.000000,0.000000
3.732283,1.000000,0.000000,0.000000
3.779528,1.000000,0.000000,0.000000
3.826772,1.000000,0.000000,0.000000
3.874016,1.000000,0.000000,0.000000
3.921260,1.000000,0.000000,0.000000
3.968504,1.000000,0.000000,0.000000
4.015748,1.000000,0.000000,0.000000
4.062992,1.000000,0.000000,0.000000
4.110236,1.000000,0.000000,0.000000
4.157480,1.000000,0.000000,0.000000
4.204724,1.000000,0.000000,0.000000
4.251969,1.000000,0.000000,0.000000
4.299213,1.000000,0.000000,0.000000
4.346457,1.000000,0.000000,0.000000
4.393701,1.000000,0.000000,0.000000
4.440945,1.000000,0.000000,0.000000
4.488189,1.000000,0.000000,0.000000
4.535433,1.000000,0.000000,0.000000
4.582677,1.000000,0.000000,0.000000
4.629921,1.000000,0.000000,0.000000
4.677165,1.000000,0.000000,0.000000
4.724409,1.000000,0.000000,0.000000
4.771654,1.000000,0.000000,0.000000
4.818898,1.000000,0.000000,0.000000
4.866142,1.000000,0.000000,0.000000
4.913386,1.000000,0.000000,0.000000
4.960630,1.000000,0.000000,0.000000
5.007874,1.000000,0.000000,0.000000
5.055118,1.000000,0.000000,0.000000
5.102362,1.000000,0.000000,0.000000
5.149606,1.000000,0.000000,0.000000
5.196850,1.000000,0.000000,0.000000
5.244094,1.000000,0.000000,0.000000
5.291339,1.000000,0.000000,0.000000
5.338583,1.000000,0.000000,0.000000
5.385827,1.000000,0.000000,0.000000
5.433071,1.000000,0.000000,0.000000
5.480315,1.000000,0.000000,0.000000
5.527559,1.000000,0.000000,0.000000
5.574803,1.000000,0.000000,0.000000
5.622047,1.000000,0.000000,0.000000
5.669291,1.000000,0.000000,0.000000
5.716535,1.000000,0.000000,0.000000
5.763780,1.000000,0.000000,0.000000
5.811024,1.000000,0.000000,0.000000
5.858268,1.000000,0.000000,0.000000
5.905512,1.000000,0.000000,0.000000
5.952756,1.000000,0.000000,0.000000
6.000000,1.000000,0.000000,0.000000
