r,g_r,h_r,c_r
0.000000,0.502745,-0.497255,-0.502745
0.031373,0.999995,-0.000005,0.000000
0.062745,0.999995,-0.000005,0.000000
0.094118,0.999995,-0.000005,0.000000
0.125490,0.999995,-0.000005,0.000000
0.156863,0.999995,-0.000005,0.000000
0.188235,0.999995,-0.000005,0.000000
0.219608,0.999995,-0.000005,0.000000
0.250980,0.999995,-0.000005,0.000000
0.282353,0.999995,-0.000005,0.000000
0.313725,0.999995,-0.000005,0.000000
0.345098,0.999995,-0.000005,0.000000
0.376471,0.999995,-0.000005,0.000000
0.407843,0.999995,-0.000005,0.000000
0.439216,0.999995,-0.000005,0.000000
0.470588,0.999995,-0.000005,0.000000
0.501961,0.999995,-0.000005,0.000000
0.533333,0.999995,-0.000005,0.000000
0.564706,0.999995,-0.000005,0.000000
0.596078,0.999995,-0.000005,0.000000
0.627451,0.999995,-0.000005,0.000000
0.658824,0.999995,-0.000005,0.000000
0.690196,0.999995,-0.000005,0.000000
0.721569,0.999995,-0.000005,0.000000
0.752941,0.999995,-0.000005,0.000000
0.784314,0.999995,-0.000005,0.000000
0.815686,0.999995,-0.000005,0.000000
0.847059,0.999995,-0.000005,0.000000
0.878431,0.999995,-0.000005,0.000000
0.909804,0.999995,-0.000005,0.000000
0.941176,0.999995,-0.000005,0.000000
0.972549,0.999995,-0.000005,0.000000
1.003922,1.000086,0.000086,0.000000
1.035294,1.000084,0.000084,0.000000
1.066667,1.000083,0.000083,0.000000
1.098039,1.000081,0.000081,0.000000
1.129412,1.000080,0.000080,0.000000
1.160784,1.000078,0.000078,0.000000
1.192157,1.000077,0.000077,0.000000
1.223529,1.000075,0.000075,0.000000
1.254902,1.000073,0.000073,0.000000
1.286275,1.000072,0.000072,0.000000
1.317647,1.000070,0.000070,0.000000
1.349020,1.000069,0.000069,0.000000
1.380392,1.000067,0.000067,0.000000
1.411765,1.000066,0.000066,0.000000
1.443137,1.000064,0.000064,0.000000
1.474510,1.000062,0.000062,0.000000
1.505882,1.000061,0.000061,0.000000
1.537255,1.000059,0.000059,0.000000
1.568627,1.000058,0.000058,0.000000
1.600000,1.000056,0.000056,0.000000
1.631373,1.000055,0.000055,0.000000
1.662745,1.000053,0.000053,0.000000
1.694118,1.000051,0.000051,0.000000
1.725490,1.000050,0.000050,0.000000
1.756863,1.000048,0.000048,0.000000
1.788235,1.000047,0.000047,0.000000
1.819608,1.000045,0.000045,0.000000
1.850980,1.000044,0.000044,0.000000
1.882353,1.000042,0.000042,0.000000
1.913725,1.000040,0.000040,0.000000
1.945098,1.000039,0.000039,0.000000
1.976471,1.000037,0.000037,0.000000
2.007843,1.000000,0.000000,0.000000
2.039216,1.000000,0.000000,0.000000
2.070588,1.000000,0.000000,0.000000
2.101961,1.000000,0.000000,0.000000
2.133333,1.000000,0.000000,0.000000
2.164706,1.000000,0.000000,0.000000
2.196078,1.000000,0.000000,0.000000
2.227451,1.000000,0.000000,0.000000
2.258824,1.000000,0.000000,0.000000
2.290196,1.000000,0.000000,0.000000
2.321569,1.000000,0.000000,0.000000
2.352941,1.000000,0.000000,0.000000
2.384314,1.000000,0.000000,0.000000
2.415686,1.000000,0.000000,0.000000
2.447059,1.000000,0.000000,0.000000
2.478431,1.000000,0.000000,0.000000
2.509804,1.000000,0.000000,0.000000
2.541176,1.000000,0.000000,0.000000
2.572549,1.000000,0.000000,0.000000
2.603922,1.000000,0.000000,0.000000
2.635294,1.000000,0.000000,0.000000
2.666667,1.000000,0.000000,0.000000
2.698039,1.000000,0.000000,0.000000
2.729412,1.000000,0.000000,0.000000
2.760784,1.000000,0.000000,0.000000
2.792157,1.000000,0.000000,0.000000
2.823529,1.000000,0.000000,0.000000
2.854902,1.000000,0.000000,0.000000
2.886275,1.000000,0.000000,0.000000
