r,g_r,h_r,c_r
0.000000,0.503129,-0.496871,-0.503128
0.031373,0.995670,-0.004330,0.000000
0.062745,0.995670,-0.004330,0.000000
0.094118,0.995670,-0.004330,0.000000
0.125490,0.995670,-0.004330,0.000000
0.156863,0.995670,-0.004330,0.000000
0.188235,0.995670,-0.004330,0.000000
0.219608,0.995670,-0.004330,0.000000
0.250980,0.995670,-0.004330,0.000000
0.282353,0.995670,-0.004330,0.000000
0.313725,0.995670,-0.004330,0.000000
0.345098,0.995670,-0.004330,0.000000
0.376471,0.995670,-0.004330,0.000000
0.407843,0.995670,-0.004330,0.000000
0.439216,0.995670,-0.004330,0.000000
0.470588,0.995670,-0.004330,0.000000
0.501961,0.995670,-0.004330,0.000000
0.533333,0.995670,-0.004330,0.000000
0.564706,0.995670,-0.004330,0.000000
0.596078,0.995670,-0.004330,0.000000
0.627451,0.995670,-0.004330,0.000000
0.658824,0.995670,-0.004330,0.000000
0.690196,0.995670,-0.004330,0.000000
0.721569,0.995670,-0.004330,0.000000
0.752941,0.995670,-0.004330,0.000000
0.784314,0.995670,-0.004330,0.000000
0.815686,0.995670,-0.004330,0.000000
0.847059,0.995670,-0.004330,0.000000
0.878431,0.995670,-0.004330,0.000000
0.909804,0.995741,-0.004259,0.000000
0.941176,0.996397,-0.003603,0.000000
0.972549,0.997965,-0.002035,0.000000
1.003922,1.000031,0.000031,0.000000
1.035294,1.001855,0.001855,0.000000
1.066667,1.003042,0.003042,0.000000
1.098039,1.003596,0.003596,0.000000
1.129412,1.003696,0.003696,0.000000
1.160784,1.003526,0.003526,0.000000
1.192157,1.003222,0.003222,0.000000
1.223529,1.002871,0.002871,0.000000
1.254902,1.002518,0.002518,0.000000
1.286275,1.002187,0.002187,0.000000
1.317647,1.001888,0.001888,0.000000
1.349020,1.001624,0.001624,0.000000
1.380392,1.001392,0.001392,0.000000
1.411765,1.001192,0.001192,0.000000
1.443137,1.001018,0.001018,0.000000
1.474510,1.000867,0.000867,0.000000
1.505882,1.000737,0.000737,0.000000
1.537255,1.000624,0.000624,0.000000
1.568627,1.000526,0.000526,0.000000
1.600000,1.000441,0.000441,0.000000
1.631373,1.000367,0.000367,0.000000
1.662745,1.000303,0.000303,0.000000
1.694118,1.000246,0.000246,0.000000
1.725490,1.000196,0.000196,0.000000
1.756863,1.000152,0.000152,0.000000
1.788235,1.000114,0.000114,0.000000
1.819608,1.000080,0.000080,0.000000
1.850980,1.000050,0.000050,0.000000
1.882353,1.000023,0.000023,0.000000
1.913725,0.999999,-0.000001,0.000000
1.945098,0.999978,-0.000022,0.000000
1.976471,0.999959,-0.000041,0.000000
2.007843,0.999942,-0.000058,0.000000
2.039216,0.999927,-0.000073,0.000000
2.070588,0.999914,-0.000086,0.000000
2.101961,0.999902,-0.000098,0.000000
2.133333,0.999891,-0.000109,0.000000
2.164706,0.999881,-0.000119,0.000000
2.196078,0.999872,-0.000128,0.000000
2.227451,0.999864,-0.000136,0.000000
2.258824,0.999856,-0.000144,0.000000
2.290196,0.999850,-0.000150,0.000000
2.321569,0.999844,-0.000156,0.000000
2.352941,0.999838,-0.000162,0.000000
2.384314,0.999833,-0.000167,0.000000
2.415686,0.999829,-0.000171,0.000000
2.447059,0.999824,-0.000176,0.000000
2.478431,0.999821,-0.000179,0.000000
2.509804,0.999817,-0.000183,0.000000
2.541176,0.999814,-0.000186,0.000000
2.572549,0.999811,-0.000189,0.000000
2.603922,0.999808,-0.000192,0.000000
2.635294,0.999806,-0.000194,0.000000
2.666667,0.999804,-0.000196,0.000000
2.698039,0.999802,-0.000198,0.000000
2.729412,0.999800,-0.000200,0.000000
2.760784,0.999798,-0.000202,0.000000
2.792157,0.999796,-0.000204,0.000000
2.823529,0.999795,-0.000205,0.000000
2.854902,0.999793,-0.000207,0.000000
2.886275,0.999792,-0.000208,0.000000
2.917647,0.999791,-0.000209,0.000000
2.949020,0.999790,-0.000210,0.000000
2.980392,0.999789,-0.000211,0.000000
3.011765,0.999788,-0.000212,0.000000
3.043137,0.999787,-0.000213,0.000000
3.074510,0.999786,-0.000214,0.000000
3.105882,0.999785,-0.000215,0.000000
3.137255,0.999784,-0.000216,0.000000
3.168627,0.999784,-0.000216,0.000000
3.200000,0.999783,-0.000217,0.000000
3.231373,0.999783,-0.000217,0.000000
3.262745,0.999782,-0.000218,0.000000
3.294118,0.999781,-0.000219,0.000000
3.325490,0.999781,-0.000219,0.000000
3.356863,0.999781,-0.000219,0.000000
3.388235,0.999780,-0.000220,0.000000
3.419608,0.999780,-0.000220,0.000000
3.450980,0.999779,-0.000221,0.000000
3.482353,0.999779,-0.000221,0.000000
3.513725,0.999779,-0.000221,0.000000
